"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
1,Tue  13 Jul 2021 16:47:10 +0000,"20210713.1647.001","Ship","other","NaN","NaN","NaN"," 32.706607"," -117.236197",,"mStukel1","gps check pre cruise","rr2105","rr2105-SE-20210713.1647.001","20210713.1647","2021/07/13 16:47:10","2021-07-13T16:47:10+00:00",
2,Wed  14 Jul 2021 15:32:41 +0000,"20210714.1532.001","Bongo Net","deploy","NaN","NaN","NaN"," 33.606036"," -119.323358",,"anOther","Test - Bongo team (Moira)","rr2105","rr2105-SE-20210714.1532.001","20210714.1532","2021/07/14 15:32:41","2021-07-14T15:32:41+00:00",
3,Wed  14 Jul 2021 16:11:47 +0000,"20210714.1611.001","Bongo Net","recover","NaN","NaN","NaN"," 33.604527"," -119.331786",,"anOther","Test - Bongo team (Moira) - 2021/07/14 15:50:10","rr2105","rr2105-SE-20210714.1611.001","20210714.1611","2021/07/14 16:11:47","2021-07-14T16:11:47+00:00",
4,Wed  14 Jul 2021 16:25:26 +0000,"20210714.1625.001","CTD911","deploy","NaN","Test Station","Cast 2"," 33.604518"," -119.331762",,"mStukel1",,"rr2105","rr2105-SE-20210714.1625.001","20210714.1625","2021/07/14 16:25:26","2021-07-14T16:25:26+00:00",
5,Wed  14 Jul 2021 16:58:31 +0000,"20210714.1658.001","CTD911","maxDepth","NaN","Test Station","2"," 33.604542"," -119.331774",,"mStukel1",,"rr2105","rr2105-SE-20210714.1658.001","20210714.1658","2021/07/14 16:58:31","2021-07-14T16:58:31+00:00",
6,Wed  14 Jul 2021 17:19:38 +0000,"20210714.1719.001","CTD911","recover","NaN","Test Station","2"," 33.604522"," -119.331765",,"rTorres1",,"rr2105","rr2105-SE-20210714.1719.001","20210714.1719","2021/07/14 17:19:38","2021-07-14T17:19:38+00:00",
7,Wed  14 Jul 2021 19:05:48 +0000,"20210714.1905.001","Trace Metal Rosette","other","NaN","NaN","test"," 33.648791"," -119.465039",,"kBarbeau1","test cast","rr2105","rr2105-SE-20210714.1905.001","20210714.1905","2021/07/14 19:05:48","2021-07-14T19:05:48+00:00",
8,Wed  14 Jul 2021 23:49:05 +0000,"20210714.2349.001","MOCNESS1","deploy",,"Test Station",," 33.806384"," -120.418896",,"mdecima","MOCNESS test target 1000m","rr2105","rr2105-SE-20210714.2349.001","20210714.2349","2021/07/14 23:49:05","2021-07-14T23:49:05+00:00",
9,Thu  15 Jul 2021 00:45:32 +0000,"20210715.0045.001","Coriolis","deploy","NaN","NaN","NaN"," 33.835561"," -120.454280",,"anOther",,"rr2105","rr2105-SE-20210715.0045.001","20210715.0045","2021/07/15 00:44:57","2021-07-15T00:45:00+00:00"," & Fri Jul 16 01:00:39 2021"
10,Thu  15 Jul 2021 00:46:09 +0000,"20210715.0046.001","Aerosol Sampler","deploy","NaN","NaN","NaN"," 33.836193"," -120.455056",,"anOther",,"rr2105","rr2105-SE-20210715.0046.001","20210715.0046","2021/07/15 00:46:09","2021-07-15T00:46:09+00:00",
11,Thu  15 Jul 2021 04:09:44 +0000,"20210715.0409.001","MOCNESS1","recover","NaN","Test Station","NaN"," 33.920693"," -120.557683",,"smatthews",,"rr2105","rr2105-SE-20210715.0409.001","20210715.0409","2021/07/15 04:09:44","2021-07-15T04:09:44+00:00",
12,Thu  15 Jul 2021 08:47:27 +0000,"20210715.0847.001","Salp Net","other","NaN","Start of Survey","NaN"," 34.419301"," -120.647910",,"mdecima","Deployed and recovered - no pyrosomes","rr2105","rr2105-SE-20210715.0847.001","20210715.0847","2021/07/15 08:47:27","2021-07-15T08:47:27+00:00",
13,Thu  15 Jul 2021 08:47:45 +0000,"20210715.0847.002","CTD911","deploy","Survey start","NaN","4"," 34.419305"," -120.647903",,"anOther",,"rr2105","rr2105-SE-20210715.0847.002","20210715.0847","2021/07/15 08:47:45","2021-07-15T08:47:45+00:00",
14,Thu  15 Jul 2021 09:13:29 +0000,"20210715.0913.001","CTD911","maxDepth","NaN","NaN","4"," 34.419298"," -120.647896",,"anOther",,"rr2105","rr2105-SE-20210715.0913.001","20210715.0913","2021/07/15 09:13:29","2021-07-15T09:13:29+00:00",
15,Thu  15 Jul 2021 09:34:09 +0000,"20210715.0934.001","CTD911","recover","NaN","NaN","4"," 34.419310"," -120.647914",,"anOther",,"rr2105","rr2105-SE-20210715.0934.001","20210715.0934","2021/07/15 09:34:09","2021-07-15T09:34:09+00:00",
16,Thu  15 Jul 2021 09:41:40 +0000,"20210715.0941.001","Science Saltwater System","start","Survey 1","1-1","901"," 34.419203"," -120.648095",,"mStukel1",,"rr2105","rr2105-SE-20210715.0941.001","20210715.0941","2021/07/15 09:41:40","2021-07-15T09:41:40+00:00",
17,Thu  15 Jul 2021 10:37:17 +0000,"20210715.1037.001","Science Saltwater System","start","Survey 1","1-2","902"," 34.540081"," -120.744125",,"jIrving1",,"rr2105","rr2105-SE-20210715.1037.001","20210715.1037","2021/07/15 10:37:17","2021-07-15T10:37:17+00:00",
18,Thu  15 Jul 2021 11:17:08 +0000,"20210715.1117.001","Science Saltwater System","start","Survey 1","1-3","903"," 34.651472"," -120.816488",,"mRoadman1",,"rr2105","rr2105-SE-20210715.1117.001","20210715.1117","2021/07/15 11:17:08","2021-07-15T11:17:08+00:00",
19,Thu  15 Jul 2021 11:57:42 +0000,"20210715.1157.001","Science Saltwater System","start","Survey 1","1-4","904"," 34.761057"," -120.902403",,"mRoadman1",,"rr2105","rr2105-SE-20210715.1157.001","20210715.1157","2021/07/15 11:57:42","2021-07-15T11:57:42+00:00",
20,Thu  15 Jul 2021 12:37:46 +0000,"20210715.1237.001","Science Saltwater System","start","Survey 1","1-5","905"," 34.870389"," -120.988108",,"mRoadman1",,"rr2105","rr2105-SE-20210715.1237.001","20210715.1237","2021/07/15 12:37:46","2021-07-15T12:37:46+00:00",
